"Nombre","Tipo","Año","Plataforma","Comentario","Puntuacion","Vista","AñoDeVisualisacion"
LORE,Serie,2017,Prime Video,"serie interesante de historias o mitos, recomendable pero nadie destacable","6/10",1,2022.0
into the dark: PURE,Pelicula,2019,MAX,cuento de aquelarre de brujas bien contado,"8/10",1,2022.0
into the dark: THE BODY,Pelicula,2018,MAX,muy buena y genial sentido del humor,"7/10",1,2022.0
into the dark: BLOOD MOON,Pelicula,2021,MAX,nena hombrelobo o parecido meeeh no me cierra,"6/10",1,2022.0
into the dark: TENTACLES,Pelicula,2021,MAX,,"5/10",1,2022.0
Lovecraft country,Serie,2020,MAX,Mierda,"1/10",1,2022.0
"30 monedas",Serie,2020,MAX,"3 ep buenisimos, despues mierda","3/10",1,2022.0
Attack of titans S3-S4-S5,Anime,2013,Crunchy Roll,Por fin se prende la wea,"10/10",1,2022.0
Darling in the franxx,Anime,2018,Crunchy Roll,Primeras vibe de cuasihentai pero despues alguito a evangelion i like,"7/10",1,2022.0
Demon slayer: Distrito rojo,Anime,2021,Crunchy Roll,DIOOOS LA ANIMACION,"9/10",1,2022.0
Yowamushi pedal,Anime,2014,Netflix,anime de ciclismo owo... pero animacion meeeeh,"6/10",1,2022.0
Ghostland ,Pelicula,2018,Prime Video,,,0,
Tales of halloween,Pelicula,2015,,,,0,
The wailing,Pelicula,2016,,,,0,
Wayward Pines,Serie,2015,,,,0,
Swallow,Pelicula,2019,ilegal,no la calificaria como pelicula de terror pero si como buena pelicula de transtornos alimenticios,"7/10",1,2022.0
Possessor ,Pelicula,2020,,,,0,
The stylist ,Pelicula,2020,,,,0,
Maligno ,Pelicula,2021,Flow,,,0,
Society ,Pelicula,1989,,,,0,
Channel Zero,Serie,2017,,,,0,
Wu Shan Wu Xing Fog Hill of Five Elements,Anime,2020,,,,0,
Hunter,Serie,2020,,,,0,
Flatliners ,Pelicula,2017,Netflix,,,0,
ECUACIÓN (Argentina),Pelicula,2016,Cine.ar,,,0,
Promare,Anime,2019,Prime Video,,,0,
The village ,Pelicula,2004,,,,0,
Ready or Not ,Pelicula,2019,,,,0,
The Empty Man ,Pelicula,2020,ilegal,"Muy buena ambientacion, final un poco obtuso pero Nice","7/10",1,2022.0
El unico ,Pelicula,2001,,,,0,
Candyman ,Pelicula,2021,Flow,,,0,
Madoka magica,Anime,2011,Netflix,,,0,
"13 fantasmas",Pelicula,2001,,,,0,
Hemlock grove,Serie,2013,Netflix,,,0,
Mimic,Pelicula,1997,,,,0,
Sea fever ,Pelicula,2019,,,,0,
La revolucion,Serie,2020,Netflix,,,0,
Brand new cherry flavour,Serie,2021,Netflix,,,0,
Tokyo vice,Serie,2020,MAX,,,0,
Dune,Pelicula,2021,MAX,,,0,
Blood Glacier,Pelicula,2013,,,,0,
Superdeep,Pelicula,2020,Prime Video,efectos practicos con CGI muy bien aprovado,"8/10",1,2022.0
The Endless,Pelicula,2017,ilegal,"solo sobre vuela el tema de los loops temporales, me falto texto, empieza con una cita de lovecraft +1punto","5/10",1,2022.0
Historia de lo oculto (Argentina),Pelicula,2020,Netflix,"no esperaba mucho e igual me desepciono, mucho mas dinamica de lo que esperaba para una pelicula argentina que suelen tener un ritmo muuuuuy pausado.","3/10",1,2022.0
Haikyuu!! Season 1,Anime,2014,Crunchy Roll,Todos son un pan de dios el anime,"6/10",1,2022.0
Gambito de dama,Serie,2020,Netflix,,,0,
Mistborn: Pozo de la ascencion,Libro,2007,,CAP 32,,0,
Event horizon,Pelicula,1997,,,,0,
Jacob's Ladder,Pelicula,1990,,,,0,
Let us prey,Pelicula,2014,Prime Video,,,0,
Wither,Pelicula,2012,,,,0,
Offseason,Pelicula,2021,,,,0,
swamp thing,Serie,2019,MAX,,,0,
Them,Serie,2021,Prime Video,,,0,
Yellowjackets,Serie,2021,,,,0,
Ex-machina,Pelicula,2015,Prime Video,Lenta pero con muchos buenos detalles y filosofia,"8/10",1,2022.0
Pinocho de Guillermo del Toro,Pelicula,2022,Netflix,,,0,
Guillermo del Toro's Cabinet of Curiosities,Serie,2022,Netflix,el ep de la autopsia es GOOOD y 2 adaptaciones de lovecraft nice,"8/10",1,2022.0
The Boys Season 1,Serie,2019,Prime Video,,,0,
Shadow and Bone Season 1,Serie,2022,Netflix,me gusto el world building espero que se desarrolle mejor todo en la segunda temporada y que no la cancelen jeje,"7/10",1,2023.0
Smile,Pelicula,2022,ilegal,tema que huele a peli de mierda pero termina siendo muy buena,"7/10",1,2022.0
The Sadness,Pelicula,2021,ilegal,"buen giro a los clasicos zombies, si te gustan los zombies tenes que verla ","8/10",1,2022.0
Aterrados,Pelicula,2017,,,,0,
Fall,Pelicula,2022,ilegal,"el guion no esta mal, pero a lo que vamos el sentimiento de vertigo es una puta locura","8/10",1,2022.0
Glorious,Pelicula,2022,ilegal,"Un The Stanley Parable lovecrafteano en un baño publico, nice","8/10",1,2022.0
What lies below,Pelicula,2020,Netflix,,,0,
Train to Busan,Pelicula,2016,Netflix,muy drama para mi pero zombies bien,"5/10",1,2022.0
FLU,Pelicula,2013,ilegal,,,0,
Isolation,Pelicula,2021,ilegal,,,0,
The innocent,Pelicula,2021,ilegal,,,0,
The cursed,Pelicula,2021,ilegal,,,0,
Chainsaw Man,Anime,2022,Crunchy Roll,"mucho carisma en todos los personajes y divertida, animacion curiosa","9/10",1,2023.0
Brightburn,Pelicula,2019,Netflix,buen concepto pero meeeh no es muy interesante realmente,"5/10",1,2022.0
Blue Lock,Anime,2022,Crunchy Roll,,"7/10",1,2022.0
NOPE,Pelicula,2022,ilegal,ultima 30 min buenarda pero debe ser la peor peli de pelee,"6/10",1,2023.0
Firestarter,Pelicula,2022,ilegal,,,0,
RRR,Pelicula,2022,Netflix,,,0,
Everything everywhere all at once,Pelicula,2022,ilegal,"es una fumada tremenda y es maravillosa, te sorprende a cada 1min ","10/10",1,2023.0
Triangle of sadness ,Pelicula,2022,ilegal,,,0,
Junji Ito Maniac: Japanese Tales of the Macabre,Serie,2023,Netflix,"mucha decisiones cuestionables con la serie pero bien, leer mangas si o si","6/10",1,2023.0
John Wick: Otro dia para matar,Pelicula,2014,Prime Video,,"8/10",1,2023.0
John Wick Capitulo 2: Un nuevo dia para matar,Pelicula,2017,Prime Video,,"6/10",1,2023.0
 John Wick: Capítulo 3 - Parabellum,Pelicula,2019,ilegal,,"9/10",1,2023.0
John Wick: Capitulo 4,Pelicula,2023,ilegal,,"8/10",1,2023.0
Demon slayer: Aoco de los herreros,Anime,2023,Crunchy Roll,,"7/10",1,2023.0
One Piece: Water 7,Anime,2005,Crunchy Roll,,"10/10",1,2023.0
My Hero Academia S5,Anime,2023,Crunchy Roll,,"9/10",1,2023.0
JUJUTSU KAISEN S1,Anime,2019,Crunchy Roll,,"8/10",1,2022.0
JUJUTSU KAISEN: 0,Pelicula,2021,Crunchy Roll,,"9/10",1,2022.0
Evil Dead Rise,Pelicula,2023,ilegal,,"7/10",1,2023.0
Oppenheimer,Pelicula,2023,ilegal,,,0,
El club de los lectores criminales,Pelicula,2022,Netflix,,"5/10",1,2023.0
Fire Force,Anime,2015,Crunchy Roll,,,0,
Baki the Grappler,Anime,2018,Netflix,,,0,
JUJUTSU KAISEN S2,Anime,2023,Crunchy Roll,,,0,
One Piece: Thriller Bark,Anime,2008,Crunchy Roll,,"7/10",1,2023.0
One Piece: Marineford,Anime,2009,Crunchy Roll,,"10/10",1,2023.0
One Piece: Isla Gyojin,Anime,2011,Crunchy Roll,,"6/10",1,2023.0
One Piece: Punk Hazard,Anime,2013,Crunchy Roll,,"6/10",1,2023.0
One Piece: Dressrosa,Anime,2014,Crunchy Roll,,"8/10",1,2023.0
Cuando acecha la maldad (ARG),Pelicula,2023,Netflix,,"8/10",1,2024.0
Slither,Pelicula,2006,ilegal,,,0,
Hell's Paradise,Anime,2021,Crunchy Roll,,,0,
JUJUTSU KAISEN S2,Anime,2023,Crunchy Roll,"A nivel de la 3era guerra ninja, por favor dejen a itadori en paz","10/10",1,2024.0
Housing Complex C,Anime,2022,MAX,,,0,
Backtrack,Pelicula,2015,ilegal,Esta muy bien el desarrollo pero le final y los efectos la cagan,"6/10",1,2024.0
La sociedad de la nieve,Pelicula,2024,Netflix,,"9/10",1,2024.0
True Detective S1,Serie,2014,MAX,,,0,
True Detective S4,Serie,2024,MAX,,,0,
Doctor Who: Noveno/Eccleston,Serie,2005,ilegal,"Muy buen principio comienzo para los que no vienron nada, duele en el kokoro que dure tan poco este doctor","9/10",1,2024.0
Doctor Who: Decimo/Tennant,Serie,2005,ilegal,"Es el Doctor que mas quedo en el imaginario y con razon, las mejores historias desde el nuevo comienzo y el final de la aventura mas doloroza por eso mismo, ALLONS-Y","10/10",1,2024.0
Doctor Who: Undecimo/Smith,Serie,2010,ilegal,,,0,
Parasyte: Los grises,Serie,2024,Netflix,,"6/10",1,2024.0
Kimetsu No Yaiba: Entrenamiento,Anime,2024,Crunchy Roll,,,0,
My Hero Academia S7,Anime,2024,Crunchy Roll,,,0,
Solo leveling,Anime,2024,Crunchy Roll,,"7/10",1,2024.0
